2019-06-07 23:13:43,478 - INFO - Criando servidor com parametros host: 10.254.224.52, port:55000, interval: 0.001
2019-06-07 23:13:43,478 - INFO - Criando socket UDP
2019-06-07 23:14:02,401 - INFO - sending message(id:162) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,403 - INFO - sending message(id:163) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,407 - INFO - sending message(id:164) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,408 - INFO - sending message(id:165) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,410 - INFO - sending message(id:166) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,412 - INFO - sending message(id:167) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,414 - INFO - sending message(id:168) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,416 - INFO - sending message(id:169) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,421 - INFO - sending message(id:170) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,423 - INFO - sending message(id:171) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,424 - INFO - sending message(id:172) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,426 - INFO - sending message(id:173) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,427 - INFO - sending message(id:174) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,429 - INFO - sending message(id:175) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,430 - INFO - sending message(id:176) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,432 - INFO - sending message(id:177) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,433 - INFO - sending message(id:178) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,437 - INFO - sending message(id:179) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,438 - INFO - sending message(id:180) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,440 - INFO - sending message(id:181) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,441 - INFO - sending message(id:182) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,445 - INFO - sending message(id:183) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,447 - INFO - sending message(id:184) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,448 - INFO - sending message(id:185) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,450 - INFO - sending message(id:186) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,451 - INFO - sending message(id:187) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,453 - INFO - sending message(id:188) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,456 - INFO - sending message(id:189) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,458 - INFO - sending message(id:190) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,459 - INFO - sending message(id:191) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,461 - INFO - sending message(id:192) to ('10.254.224.48', 56916)
